kabupaten_kota,sd_proporsi_sekolah_swasta,sd_proporsi_murid_swasta,sd_proporsi_guru_swasta,sd_rasio_sekolah,sd_rasio_murid,sd_rasio_guru,smp_proporsi_sekolah_swasta,smp_proporsi_murid_swasta,smp_proporsi_guru_swasta,smp_rasio_sekolah,smp_rasio_murid,smp_rasio_guru,sma_proporsi_sekolah_swasta,sma_proporsi_murid_swasta,sma_proporsi_guru_swasta,sma_rasio_sekolah,sma_rasio_murid,sma_rasio_guru,smk_proporsi_sekolah_swasta,smk_proporsi_murid_swasta,smk_proporsi_guru_swasta,smk_rasio_sekolah,smk_rasio_murid,smk_rasio_guru,cluster
Kabupaten Aceh Barat,0.028515878159429683,0.036397474409977454,0.026093527738264583,27.75925925925926,26.429085303186024,36.698492462311556,0.22530329289428075,0.18288293976512182,0.1483050847457627,3.192857142857143,4.464125560538117,5.703114186851211,0.20560747663551404,0.13182725081054117,0.132204756146715,3.148148148148148,6.575318747048639,6.465465465465466,0.05454545454545454,0.009312638580931263,0.028410772417875107,6.5,102.3206106870229,30.971698113207548,1
Kabupaten Aceh Barat Daya,0.02727272727272727,0.04333336036262498,0.023722864942155208,26.75,22.035674262233844,40.056,0.20529801324503313,0.11408365769420535,0.11712984769979588,3.333333333333333,7.753078522309292,7.4378306878306875,0.13333333333333333,0.06283715441672287,0.06968486462494453,4.333333333333333,14.864304812834224,12.938271604938272,0.0,0.0,0.0,5.0,1105.8,154.6,1
Kabupaten Aceh Besar,0.051789077212806026,0.09682317708248837,0.07870558281982214,16.783333333333335,9.32498073766373,11.65095660289314,0.349685534591195,0.30021490913875526,0.2238568012174795,1.7951388888888888,2.330379746835443,3.4559535333978704,0.37610619469026546,0.24170216805705538,0.1960496724357094,1.5666666666666667,3.1357836882912946,4.080397022332506,0.2685185185185185,0.12448591246700634,0.07802625182304326,2.025641025641026,7.0157402852926705,11.459214501510575,0
Kabupaten Aceh Jaya,0.0,0.0,0.0,98.0,9124.1,1051.8,0.14206128133704735,0.18450894266930784,0.1306422748061245,5.049180327868853,4.412925275749572,6.554722638680659,0.21428571428571427,0.18306856187290968,0.15489660554038237,2.75,4.4522670312144,5.321867321867321,0.14285714285714285,0.1619381202568593,0.11162790697674418,3.0,5.13815318539728,7.441558441558441,1
Kabupaten Aceh Selatan,0.01563263312164143,0.021243060716548037,0.011850711812235475,47.976190476190474,45.96626844694308,80.76100628930817,0.12876254180602006,0.07803178651122546,0.08052379556337341,5.988505747126437,11.798076923076923,11.28177458033573,0.16167664670658685,0.06692845430223526,0.08491912464319697,4.375,13.911430409607547,10.62707182320442,0.11504424778761062,0.05243200836820083,0.04647887323943662,4.347826086956522,17.84975369458128,19.070422535211268,1
Kabupaten Aceh Singkil,0.0499092558983666,0.07538301143291336,0.04337631887456037,16.107692307692307,12.256011867582762,21.663716814159294,0.2873831775700935,0.2653760493404146,0.18307086614173226,2.2932330827067666,2.766613877646783,4.422735346358793,0.23741007194244607,0.10192266264541146,0.0955831608005521,2.4651162790697674,8.788142292490118,9.13240418118467,0.3333333333333333,0.1512800620636152,0.16455696202531644,1.4594594594594594,5.574522292993631,4.888888888888889,0
Kabupaten Aceh Tamiang,0.06294536817102138,0.05192013642851573,0.05367091126144051,13.603448275862071,18.248433829287393,17.47015610651974,0.1912751677852349,0.1529475575992099,0.13740902474526928,3.8870967741935485,5.535258953605248,6.233520336605891,0.2250922509225092,0.06889817114472792,0.07642469919344176,2.9577464788732395,13.492066088663506,11.879251700680273,0.4444444444444444,0.10440026668282926,0.1065312046444122,1.0,8.55369030390738,8.16445623342175,0
Kabupaten Aceh Tengah,0.045454545454545456,0.09298876404494381,0.06908477800354502,18.9,9.74875207986689,13.391169154228855,0.1553398058252427,0.15041993016891572,0.10047305635540929,4.833333333333333,5.642155838729893,8.862208713272544,0.0984455958549223,0.040395567524612604,0.04451094071441931,6.0,23.62608695652174,20.6008064516129,0.17857142857142858,0.019894505129376582,0.05252686032630322,2.3,48.25766871165645,16.767605633802816,1
Kabupaten Aceh Tenggara,0.19479048697621743,0.21791792921152728,0.16508809451064263,4.016949152542373,3.5882200695112036,5.041820418204182,0.5088676671214188,0.40329455349632837,0.28954423592493295,0.9399477806788512,1.479230607033245,2.4456163480553728,0.2857142857142857,0.1885340291240908,0.1275048480930834,2.2222222222222223,4.300757107540172,6.757196495619524,0.625,0.29345328504108736,0.2898989898989899,0.5454545454545454,2.4045062955599734,2.421354764638347,0
Kabupaten Aceh Timur,0.01317157712305026,0.012492896718283844,0.011241696474195196,59.3125,78.90528556225613,86.0,0.10935601458080195,0.06951032155484142,0.04807814283902068,7.33,13.373445183685277,19.541666666666668,0.11842105263157894,0.034368835695182315,0.036810551558753,5.82608695652174,27.997543859649124,25.340694006309146,0.10062893081761007,0.035795672769171685,0.031387319522912745,5.5,26.745028409090907,28.93125,1
Kabupaten Aceh Utara,0.01780821917808219,0.020870277811416028,0.015142444624432158,47.8,46.87776983559686,64.2919540229885,0.3006442376521117,0.21037733201287842,0.16859004819767837,2.272093023255814,3.7526486280487807,4.921639541892707,0.3115671641791045,0.17869227877089244,0.16210820523058497,2.0847457627118646,4.594455066921606,5.1475878986099755,0.45703124999999994,0.282820860652649,0.2314273492086126,1.094488188976378,2.5341189002063778,3.3006736068585423,0
Kabupaten Bener Meriah,0.03353658536585367,0.05313995143413555,0.03869006494403758,23.48148148148148,17.79810190938877,24.410526315789475,0.25846702317290554,0.28318484055077325,0.1941510966693745,2.6838709677419357,2.529579898963042,4.125965537730243,0.3893805309734513,0.1908602150537634,0.1933668341708543,1.4081632653061225,4.233352468427096,4.128600823045267,0.1607142857142857,0.03970342023439369,0.0550755939524838,2.473684210526316,23.710629921259844,15.625000000000002,0
Kabupaten Bireuen,0.031276778063410456,0.06111594998329595,0.031261284498323445,27.240963855421683,15.354846577881847,30.734860883797054,0.34925690021231426,0.3016853475181155,0.14458309449270249,1.808259587020649,2.314295479484089,5.898449376710246,0.3442622950819672,0.2375103672571732,0.12438865340723834,1.7647058823529411,3.2090834215790096,6.993489583333334,0.3495934959349593,0.17625770936337226,0.09281997918834548,1.509433962264151,4.666762922321686,9.55921052631579,0
Kabupaten Gayo Lues,0.06430155210643015,0.10649219657603948,0.08417151932239281,12.411764705882353,8.383269961977186,10.745341614906833,0.25984251968503935,0.28642129665807087,0.1710644007155635,2.5871559633027523,2.489096856260222,4.783225806451613,0.2,0.08766002844950213,0.0636297903109183,3.0,10.365656565656566,13.924731182795698,0.0,0.0,0.0,2.2,309.7,64.0,0
Kabupaten Nagan Raya,0.024264705882352938,0.028993850582232108,0.02575700464882523,30.86046511627907,33.41467807294011,36.923809523809524,0.12090680100755669,0.07907076933273682,0.06489675516224189,6.017241379310345,11.62254286909243,14.088888888888889,0.03954802259887005,0.004290360528683136,0.0020174848688634837,10.0,220.23979591836732,234.31578947368422,0.574468085106383,0.4645231475885411,0.37152034261241973,0.5405405405405405,1.1497534388787958,1.6442577030812324,1
Kabupaten Pidie,0.025089605734767026,0.04997847125696072,0.029766905922173945,34.0,18.997630742559956,32.3336,0.22707423580786024,0.15654902183480507,0.09381832637646592,3.1987951807228914,5.385333575054387,9.608008429926237,0.20860927152317882,0.09852507955900174,0.0767236910316226,3.273972602739726,9.140559440559441,11.89977728285078,0.49242424242424243,0.28876090551405603,0.27442877977637337,0.8933333333333333,2.4606431248767016,2.62071992976295,0
Kabupaten Pidie Jaya,0.033297529538131046,0.039762718252505144,0.02011263073209976,21.951219512195124,24.09952704092124,47.45454545454545,0.25757575757575757,0.17350662529516225,0.11301167865990328,2.5789473684210527,4.758117065498258,7.767561983471074,0.2805755395683453,0.11673800655956418,0.06863347674656832,2.0408163265306123,7.548218527315915,13.1768115942029,0.4117647058823529,0.18070419083408218,0.13720073664825044,1.0526315789473684,4.513501350135013,6.084415584415584,0
Kabupaten Simeulue,0.013043478260869565,0.023250605696601992,0.013021660420504351,45.4,41.82650392327812,72.26976744186047,0.046052631578947366,0.02834237208205612,0.03248368044762201,14.032258064516128,34.0,28.424657534246577,0.019762845849802372,0.00396943266816083,0.006822183098591549,16.533333333333335,234.94267515923568,110.07317073170734,0.0,0.0,0.0,8.0,941.3,158.1,1
Kota Banda Aceh,0.19821826280623608,0.1722587981311954,0.23879392561074025,3.829787234042553,4.804069725735873,3.177947932618683,0.44281524926686217,0.15683864134957257,0.21321100917431193,1.1801242236024843,5.372740419378164,3.6691386195094124,0.4377104377104377,0.1413341245116946,0.19941612396137434,1.1928571428571428,6.071183833298371,3.992161254199328,0.36170212765957444,0.13923890331159378,0.1269267822736031,1.3636363636363635,6.172544271227485,6.75046554934823,0
Kota Langsa,0.13010590015128592,0.1146304255452538,0.11809347524294307,5.989583333333334,7.718996720515001,7.409797822706065,0.30952380952380953,0.09912297974825429,0.1060377989630373,1.9333333333333333,9.074610924626183,8.299689440993788,0.4565217391304348,0.09845067660325554,0.15058823529411766,0.9615384615384615,9.134624937903626,5.532567049808429,0.36170212765957444,0.04876595052965241,0.08148543948704248,1.3636363636363635,19.398342541436463,10.914285714285715,0
Kota Lhokseumawe,0.1865357643758766,0.12707842385049598,0.1391335740072202,4.055944055944056,6.866195361669109,6.15539494062984,0.4084967320261438,0.13956706150106035,0.1871869232797258,1.3407407407407408,6.159307599740813,4.311888111888112,0.33884297520661155,0.10614552605703048,0.1010477299185099,1.5686274509803924,8.401571164510166,8.695945945945947,0.36,0.07913470324486284,0.119314825753101,1.4545454545454546,11.605516871987145,7.261363636363637,0
Kota Sabang,0.023809523809523805,0.02094282110573891,0.017456359102244388,15.375,46.16976456009913,49.25,0.10869565217391305,0.14509128048002043,0.06305922454196847,4.1,5.86640385457731,13.917721518987342,0.3333333333333333,0.11173135630178804,0.0905096660808436,1.0,7.8884585592563905,9.159292035398229,0.0,0.0,0.0,1.0,325.9,43.5,1
Kota Subulussalam,0.04982206405693951,0.043179970736465616,0.03361344537815126,15.403846153846152,22.11724915445321,27.91907514450867,0.47540983606557374,0.40996320532311015,0.2988752008569898,1.032258064516129,1.438470215394532,2.325044404973357,0.4444444444444444,0.2646141240979422,0.20484319174275506,1.0714285714285714,2.775782086356607,3.807984790874525,0.09259259259259259,0.013093404285114128,0.00921658986175115,3.266666666666667,71.5482233502538,62.708333333333336,0
