kabupaten_kota,tahun,hls__nilai,rls__nilai,amh__nilai,sd__Jumlah Sekolah SD (Negeri),sd__Jumlah Sekolah SD (Swasta),sd__Jumlah Sekolah SD (Negeri+Swasta),sd__Jumlah Guru SD (Negeri),sd__Jumlah Guru SD (Swasta),sd__Jumlah Guru SD (Negeri+Swasta),sd__Jumlah Murid SD (Negeri),sd__Jumlah Murid SD (Swasta),sd__Jumlah Murid SD (Negeri+Swasta),smp__Jumlah Sekolah SMP (Negeri),smp__Jumlah Sekolah SMP (Swasta),smp__Jumlah Sekolah SMP (Negeri+Swasta),smp__Jumlah Guru SMP (Negeri),smp__Jumlah Guru SMP (Swasta),smp__Jumlah Guru SMP (Negeri+Swasta),smp__Jumlah Murid SMP (Negeri),smp__Jumlah Murid SMP (Swasta),smp__Jumlah Murid SMP (Negeri+Swasta),sma__Jumlah Sekolah SMA (Negeri),sma__Jumlah Sekolah SMA (Swasta),sma__Jumlah Sekolah SMA (Negeri+Swasta),sma__Jumlah Guru SMA (Negeri),sma__Jumlah Guru SMA (Swasta),sma__Jumlah Guru SMA (Negeri+Swasta),sma__Jumlah Murid SMA (Negeri),sma__Jumlah Murid SMA (Swasta),sma__Jumlah Murid SMA (Negeri+Swasta),smk__Jumlah Sekolah SMK (Negeri),smk__Jumlah Sekolah SMK (Swasta),smk__Jumlah Sekolah SMK (Negeri+Swasta),smk__Jumlah Guru SMK (Negeri),smk__Jumlah Guru SMK (Swasta),smk__Jumlah Guru SMK (Negeri+Swasta),smk__Jumlah Murid SMK (Negeri),smk__Jumlah Murid SMK (Swasta),smk__Jumlah Murid SMK (Negeri+Swasta)
Kabupaten Aceh Besar,2016,14.48,9.92,98.48,201,9,211,2518,172,2692,27590,2421,31312,50,21,71,1095,232,1327,8622,2382,11004,28,13,41,844,169,1013,5899,1216,7115,7,2,9,277,17,294,2503,279,2782
Kabupaten Aceh Besar,2017,14.49,9.93,98.48,201,9,210,2411,181,2592,28221,2753,30974,51,21,72,1112,233,1345,8677,2547,11224,28,13,41,835,171,1006,5926,1322,7248,8,3,11,312,13,325,3109,360,3469
Kabupaten Aceh Besar,2018,14.7,10.14,98.48,201,10,211,2340,208,2548,28117,2996,31113,52,23,75,1099,239,1338,9129,3158,12287,28,14,42,807,190,997,5892,1503,7395,8,3,11,343,23,366,3091,381,3472
Kabupaten Aceh Besar,2019,14.71,10.31,98.48,201,10,211,2495,197,2692,28124,3188,31312,52,26,78,1107,283,1390,10221,4181,14402,28,17,45,811,193,1004,5882,1718,7600,8,3,11,374,33,407,3073,402,3475
Kabupaten Aceh Besar,2020,14.72,10.32,98.48,201,10,211,2603,214,2817,27519,3214,30733,52,26,78,1154,342,1496,10447,4717,15164,28,16,44,850,205,1055,5614,1862,7476,8,3,11,399,35,434,2917,408,3325
Kabupaten Aceh Besar,2021,14.73,10.33,98.19,201,12,213,2450,232,2682,27296,3192,30488,52,27,79,1061,319,1380,10027,5232,15259,28,17,45,762,219,981,5873,2264,8137,8,3,11,395,41,436,3142,445,3587
Kabupaten Aceh Besar,2022,14.75,10.35,98.82,202,12,214,2463,232,2695,27559,3100,30659,52,29,81,1047,343,1390,9475,5154,14629,28,20,48,792,219,1011,6460,2532,8992,8,3,11,420,41,461,2710,479,3189
Kabupaten Aceh Besar,2023,14.76,10.36,98.33,202,12,214,2520,230,2750,27739,3034,30774,52,30,82,1023,361,1384,9381,4835,14216,28,20,48,807,216,1023,7169,2721,9890,8,3,11,414,48,462,2722,485,3207
Kabupaten Aceh Besar,2024,14.77,10.37,98.58,202,13,215,2578,228,2806,27919,2969,30888,52,37,89,1040,347,1387,9693,4579,14272,28,20,48,858,207,1065,7522,2685,10207,8,3,11,426,35,461,2609,424,3033
Kabupaten Aceh Besar,2025,14.77,10.37,98.58,202,13,215,2590,239,2829,28276,2974,31250,52,38,90,972,390,1362,10060,4285,14345,30,20,50,856,216,1072,7664,2545,10209,8,3,11,433,35,468,2650,393,3043
