kabupaten_kota,tahun,hls__nilai,rls__nilai,amh__nilai,sd__Jumlah Sekolah SD (Negeri),sd__Jumlah Sekolah SD (Swasta),sd__Jumlah Sekolah SD (Negeri+Swasta),sd__Jumlah Guru SD (Negeri),sd__Jumlah Guru SD (Swasta),sd__Jumlah Guru SD (Negeri+Swasta),sd__Jumlah Murid SD (Negeri),sd__Jumlah Murid SD (Swasta),sd__Jumlah Murid SD (Negeri+Swasta),smp__Jumlah Sekolah SMP (Negeri),smp__Jumlah Sekolah SMP (Swasta),smp__Jumlah Sekolah SMP (Negeri+Swasta),smp__Jumlah Guru SMP (Negeri),smp__Jumlah Guru SMP (Swasta),smp__Jumlah Guru SMP (Negeri+Swasta),smp__Jumlah Murid SMP (Negeri),smp__Jumlah Murid SMP (Swasta),smp__Jumlah Murid SMP (Negeri+Swasta),sma__Jumlah Sekolah SMA (Negeri),sma__Jumlah Sekolah SMA (Swasta),sma__Jumlah Sekolah SMA (Negeri+Swasta),sma__Jumlah Guru SMA (Negeri),sma__Jumlah Guru SMA (Swasta),sma__Jumlah Guru SMA (Negeri+Swasta),sma__Jumlah Murid SMA (Negeri),sma__Jumlah Murid SMA (Swasta),sma__Jumlah Murid SMA (Negeri+Swasta),smk__Jumlah Sekolah SMK (Negeri),smk__Jumlah Sekolah SMK (Swasta),smk__Jumlah Sekolah SMK (Negeri+Swasta),smk__Jumlah Guru SMK (Negeri),smk__Jumlah Guru SMK (Swasta),smk__Jumlah Guru SMK (Negeri+Swasta),smk__Jumlah Murid SMK (Negeri),smk__Jumlah Murid SMK (Swasta),smk__Jumlah Murid SMK (Negeri+Swasta)
Kabupaten Aceh Tenggara,2022,14.26,9.92,98.0,141,40,181,1580,359,1939,18561,5838,24399,36,42,78,740,341,1081,5611,4963,10574,20,8,28,545,85,630,5313,1322,6635,6,11,17,216,81,297,1664,756,2420
Kabupaten Aceh Tenggara,2023,14.27,10.09,98.14,141,40,181,1809,387,2196,18168,6250,24418,36,44,80,856,356,1212,5735,5160,10895,20,9,29,585,76,661,5130,1416,6546,6,10,16,243,73,316,1654,695,2349
Kabupaten Aceh Tenggara,2024,14.47,10.1,97.73,141,40,181,2038,415,2453,17776,6661,24437,36,46,82,896,349,1245,5933,5352,11285,20,9,29,619,73,692,5182,1528,6710,6,10,16,273,75,348,1720,700,2420
Kabupaten Aceh Tenggara,2025,14.47,10.1,97.73,141,44,185,2071,573,2644,17334,7171,24505,36,52,88,883,526,1409,6137,5474,11611,20,9,29,618,110,728,5250,1496,6746,6,10,16,276,92,368,1831,833,2664
Kabupaten Aceh Timur,2016,12.55,7.6,99.24,282,1,289,3720,20,3833,44662,318,45104,69,5,74,1359,48,1407,13489,568,14057,25,3,28,779,22,801,7977,259,8236,12,1,13,325,4,329,3536,96,3632
Kabupaten Aceh Timur,2017,13.0,7.8,99.24,284,2,286,3623,24,3647,45043,334,45377,73,6,79,1320,47,1367,13603,597,14200,27,3,30,800,28,828,8217,271,8488,12,1,13,384,6,390,3889,104,3993
Kabupaten Aceh Timur,2018,13.01,7.85,99.24,284,2,286,3595,25,3620,44939,339,45278,73,8,81,1325,50,1375,13366,581,13947,27,3,30,816,28,844,8276,286,8562,14,1,14,422,10,432,3960,109,4068
Kabupaten Aceh Timur,2019,13.02,7.86,99.24,286,3,289,3802,31,3833,44704,400,45104,73,8,81,1462,65,1527,14204,753,14957,27,3,30,817,29,846,8442,308,8750,15,1,16,460,13,473,4030,114,4144
Kabupaten Aceh Timur,2020,13.03,8.15,99.24,286,3,289,4008,29,4037,44325,402,44727,73,8,81,1542,83,1625,14856,716,15572,27,4,31,849,41,890,7968,306,8274,15,2,17,485,18,503,3828,122,3950
Kabupaten Aceh Timur,2021,13.04,8.21,99.06,285,4,289,3787,29,3816,43970,550,44520,74,8,82,1549,67,1616,14392,887,15279,27,4,31,797,39,836,7626,335,7961,15,2,17,465,20,485,3393,175,3568
Kabupaten Aceh Timur,2022,13.06,8.32,98.77,285,5,290,3849,85,3934,43638,711,44349,74,10,84,1590,92,1682,13761,1233,14994,27,4,31,784,36,820,7425,297,7722,15,2,17,518,21,539,3303,198,3501
Kabupaten Aceh Timur,2023,13.07,8.47,99.7,285,6,290,3976,69,4046,44034,804,44838,74,11,85,1601,101,1702,13552,1613,15165,27,4,31,799,33,832,7670,279,7949,15,2,17,513,21,534,3553,184,3737
Kabupaten Aceh Timur,2024,13.08,8.48,99.22,285,6,291,4104,53,4157,44429,897,45326,75,12,87,1658,92,1750,13646,1714,15360,27,4,31,806,25,831,8012,256,8268,15,2,17,514,21,535,3908,156,4064
Kabupaten Aceh Timur,2025,13.08,8.48,99.22,285,6,291,4236,75,4311,45124,873,45997,75,14,89,1602,113,1715,13827,1699,15526,27,4,31,786,26,812,8180,243,8423,15,2,17,543,16,559,4257,140,4397
Kabupaten Aceh Utara,2016,14.11,8.09,99.18,356,6,365,5938,75,5618,58546,1052,60482,95,32,127,2566,386,2952,21748,3945,25693,36,16,52,1306,218,1524,12783,2228,15011,13,9,22,448,98,546,4192,1029,5221
Kabupaten Aceh Utara,2017,14.42,8.1,99.18,357,6,363,5556,76,5632,58804,1108,59912,97,36,133,2523,430,2953,20885,4299,25184,37,17,54,1321,249,1570,12632,2572,15204,14,9,23,507,145,652,4487,1140,5627
Kabupaten Aceh Utara,2018,14.68,8.11,99.18,359,6,365,5405,77,5482,58880,1132,60012,97,37,134,2491,432,2923,19953,4354,24307,37,17,54,1277,252,1529,12341,2801,15142,14,10,24,518,158,676,4357,1402,5759
Kabupaten Aceh Utara,2019,14.69,8.46,99.18,359,6,365,5540,78,5618,59296,1186,60482,97,41,138,2399,482,2881,19881,5092,24973,37,18,55,1272,259,1531,12440,3036,15476,14,12,26,529,171,700,4227,1664,5891
Kabupaten Aceh Utara,2020,14.7,8.63,99.18,359,6,365,5721,90,5811,58820,1191,60011,97,40,137,2486,503,2989,19781,5657,25438,37,17,54,1284,277,1561,11947,3082,15029,14,11,25,537,164,701,3909,1941,5850
Kabupaten Aceh Utara,2021,14.71,8.64,99.28,359,7,366,5476,93,5569,58382,1257,59639,98,44,142,2447,517,2964,19379,5842,25221,37,17,54,1206,267,1473,11371,2752,14123,14,12,26,534,168,702,3556,1824,5380
Kabupaten Aceh Utara,2022,14.73,8.73,98.88,359,7,366,5549,93,5642,58381,1308,59689,99,44,143,2398,525,2923,18568,5762,24330,37,17,54,1234,260,1494,10786,2490,13276,14,12,26,578,177,755,3120,1596,4716
Kabupaten Aceh Utara,2023,14.74,8.85,99.55,359,7,366,5558,92,5650,59031,1376,60408,99,48,147,2398,561,2959,18410,5792,24202,37,16,53,1191,233,1424,11319,2447,13766,14,14,28,569,199,768,3069,1547,4616
Kabupaten Aceh Utara,2024,14.75,9.11,98.75,359,7,366,5568,90,5658,59681,1445,61126,99,49,148,2403,526,2929,18962,5914,24876,37,16,53,1256,210,1466,12050,2367,14417,14,14,28,589,164,753,3315,1479,4794
Kabupaten Aceh Utara,2025,14.75,9.11,98.75,359,7,366,5623,96,5719,60417,1526,61943,99,49,148,2384,605,2989,19372,5813,25185,37,16,53,1244,211,1455,12476,2365,14841,14,14,28,581,179,760,3833,1389,5222
Kabupaten Bener Meriah,2016,13.42,9.43,99.1,126,0,132,1482,0,1355,14666,0,16471,41,10,51,737,142,879,3719,1411,5130,15,8,23,483,79,562,3193,724,3917,4,0,4,154,0,154,980,0,980
Kabupaten Bener Meriah,2017,13.43,9.55,99.1,126,1,127,1392,2,1394,15530,130,15660,41,10,51,729,140,869,3635,1199,4834,15,8,23,489,85,574,3156,705,3861,4,1,5,156,11,167,1009,1,1010
Kabupaten Bener Meriah,2018,13.44,9.56,99.1,127,2,129,1178,6,1184,15526,202,15728,41,12,53,637,143,780,3542,1154,4696,15,8,23,455,98,553,2863,606,3469,4,1,6,163,12,174,1085,39,1124
Kabupaten Bener Meriah,2019,13.45,9.78,99.1,127,5,132,1315,40,1355,16071,400,16471,41,16,57,653,193,846,3651,1434,5085,14,9,23,405,108,513,2716,622,3338,5,1,6,170,12,182,1161,77,1238
Kabupaten Bener Meriah,2020,13.46,9.79,99.1,127,5,132,1390,55,1445,15864,754,16618,42,15,57,688,187,875,3640,1491,5131,14,9,23,396,110,506,2429,642,3071,5,1,6,187,11,198,1280,74,1354
Kabupaten Bener Meriah,2021,13.47,10.0,99.94,127,5,132,1327,64,1391,15805,956,16761,42,16,58,710,178,888,3602,1634,5236,13,9,22,340,106,446,2382,670,3052,5,1,6,185,11,196,1570,72,1642
Kabupaten Bener Meriah,2022,13.71,10.01,99.15,127,5,132,1364,62,1426,15816,1182,16998,42,16,58,690,176,866,3595,1509,5104,13,9,22,342,100,442,2656,680,3336,5,1,6,191,13,204,1275,71,1346
Kabupaten Bener Meriah,2023,13.72,10.12,99.57,127,6,133,1436,79,1515,15991,1476,17467,42,16,58,695,172,867,3981,1634,5615,13,9,22,362,93,455,3074,722,3796,5,1,6,187,14,201,1248,60,1308
Kabupaten Bener Meriah,2024,13.73,10.13,99.22,127,7,134,1508,96,1604,16166,1770,17936,42,17,59,719,153,872,4216,1780,5996,13,9,22,374,81,455,3423,802,4225,5,1,6,180,9,189,1230,54,1284
Kabupaten Bener Meriah,2025,13.73,10.13,99.22,127,8,135,1522,156,1678,16096,1971,18067,42,17,59,686,189,875,4474,1788,6262,13,10,23,367,102,469,3606,785,4391,5,1,6,177,9,186,1207,50,1257
Kabupaten Bireuen,2016,14.42,9.15,98.88,228,4,234,4036,56,3831,31284,869,33627,62,16,78,2098,143,2241,13995,3158,17153,24,8,32,1193,92,1285,9386,1971,11357,8,4,12,409,27,436,2919,459,3378
Kabupaten Bireuen,2017,14.8,9.16,98.88,228,5,233,3838,79,3917,31730,1153,32883,62,20,82,2058,195,2253,13449,3288,16737,24,10,34,1202,128,1330,9088,1989,11077,8,4,12,423,24,447,3036,522,3558
Kabupaten Bireuen,2018,14.81,9.17,98.88,228,5,233,3645,91,3736,31949,1377,33326,62,24,86,2008,257,2265,12930,3546,16476,24,12,36,1198,153,1351,8593,2077,10670,8,4,12,424,34,458,3029,601,3630
Kabupaten Bireuen,2019,14.82,9.27,98.88,228,6,234,3742,89,3831,31933,1694,33627,61,27,88,1901,293,2194,13526,4695,18221,24,12,36,1084,149,1233,8326,2403,10729,8,4,12,424,44,468,3022,680,3702
Kabupaten Bireuen,2020,14.83,9.28,98.88,228,7,235,3800,98,3898,31424,2109,33533,61,31,92,1912,337,2249,13338,5714,19052,24,12,36,1097,162,1259,7821,2681,10502,8,4,12,447,44,491,3030,675,3705
Kabupaten Bireuen,2021,14.84,9.29,99.19,224,7,231,3719,122,3841,31316,2418,33734,61,34,95,1882,347,2229,12849,6690,19539,24,13,37,1034,147,1181,7394,2761,10155,8,4,12,433,47,480,3158,619,3777
Kabupaten Bireuen,2022,14.86,9.31,99.23,224,9,233,3704,142,3846,30930,2456,33386,61,40,101,1895,365,2260,12035,6999,19034,24,13,37,1011,159,1170,7286,2865,10151,8,4,12,432,52,484,3330,720,4050
Kabupaten Bireuen,2023,14.87,9.32,99.27,224,10,234,3706,158,3864,31106,2638,33744,61,44,105,1854,413,2267,11989,7168,19157,24,15,39,986,168,1154,7669,2862,10531,8,5,13,443,63,506,3436,806,4242
Kabupaten Bireuen,2024,14.88,9.59,99.23,224,10,234,3707,175,3882,31283,2820,34103,61,44,105,1890,416,2306,12234,7141,19375,24,15,39,991,178,1169,8006,2963,10969,8,5,13,463,52,515,3549,907,4456
Kabupaten Bireuen,2025,14.88,9.59,99.23,225,10,235,3661,202,3863,31804,2955,34759,61,49,110,1902,513,2415,12309,7182,19491,24,16,40,946,190,1136,8253,2915,11168,8,5,13,461,59,520,3813,927,4740
Kabupaten Gayo Lues,2016,13.27,7.1,93.91,83,4,90,805,59,890,9890,918,10929,27,4,31,303,32,335,3531,513,4044,12,3,15,252,18,270,2823,164,2987,2,0,2,59,0,59,364,0,364
Kabupaten Gayo Lues,2017,13.28,7.39,93.91,84,4,88,678,64,742,9695,1010,10705,29,6,35,319,33,352,3462,620,4082,12,3,15,256,15,271,2807,209,3016,2,0,2,55,0,55,350,0,350
Kabupaten Gayo Lues,2018,13.49,7.69,93.91,84,4,88,647,64,711,9523,1049,10572,29,7,36,269,39,308,3281,731,4012,12,2,14,253,9,262,2616,224,2840,2,0,2,56,0,56,296,0,296
Kabupaten Gayo Lues,2019,13.73,7.91,93.91,84,6,90,807,83,890,9717,1212,10929,29,8,37,347,64,411,3113,1036,4149,12,2,14,255,11,266,2514,285,2799,2,0,2,56,0,56,241,0,241
Kabupaten Gayo Lues,2020,13.77,8.2,93.91,84,6,90,917,86,1003,9833,1261,11094,29,10,39,420,77,497,2684,1059,3743,12,2,14,257,12,269,2534,302,2836,2,0,2,56,0,56,264,0,264
Kabupaten Gayo Lues,2021,13.78,8.4,95.71,85,6,91,930,83,1013,10046,1267,11313,27,10,37,382,91,473,2095,1168,3263,12,3,15,251,15,266,2576,250,2826,2,0,2,56,0,56,288,0,288
Kabupaten Gayo Lues,2022,14.08,8.41,95.68,85,7,92,972,90,1062,9980,1236,11216,28,14,42,427,101,528,2242,1363,3605,12,4,16,262,15,277,2424,264,2688,2,0,2,66,0,66,286,0,286
Kabupaten Gayo Lues,2023,14.34,8.42,95.41,85,7,92,966,86,1052,10068,1260,11328,28,13,41,452,101,553,2303,1465,3768,12,3,15,272,17,289,2424,208,2632,2,0,2,78,0,78,313,0,313
Kabupaten Gayo Lues,2024,14.59,8.44,97.05,85,7,92,960,82,1042,10156,1285,11441,28,14,42,396,96,492,2359,1515,3874,12,4,16,270,26,296,2429,253,2682,3,0,3,74,0,74,296,0,296
Kabupaten Gayo Lues,2025,14.59,8.44,97.05,85,7,92,968,98,1066,10308,1327,11635,28,13,41,392,131,523,2325,1526,3851,12,4,16,262,38,300,2508,306,2814,3,0,3,84,0,84,399,0,399
Kabupaten Nagan Raya,2016,14.09,8.24,97.05,132,2,136,1507,24,1508,14419,176,15091,33,5,38,641,30,671,5819,289,6108,17,1,18,445,0,445,4929,4,4933,2,3,5,50,36,86,404,329,733
Kabupaten Nagan Raya,2017,14.1,8.25,97.05,132,3,135,1403,26,1429,14522,294,14816,33,5,38,587,42,629,5381,350,5731,17,1,18,449,0,449,4694,4,4698,2,3,5,48,32,80,421,449,870
Kabupaten Nagan Raya,2018,14.11,8.26,97.05,132,3,135,1369,31,1400,14559,354,14913,33,5,38,558,46,604,5235,412,5647,17,0,17,447,0,447,4319,0,4319,2,3,5,50,36,86,464,447,912
Kabupaten Nagan Raya,2019,14.12,8.5,97.05,133,3,136,1468,40,1508,14702,389,15091,35,4,39,601,37,638,5442,396,5838,17,1,18,442,0,442,4184,0,4184,2,3,5,51,41,92,508,445,953
Kabupaten Nagan Raya,2020,14.13,8.68,97.05,133,3,136,1595,39,1634,14334,420,14754,35,4,39,652,44,696,5454,414,5868,17,0,17,455,0,455,3881,0,3881,2,3,5,51,39,90,495,397,892
Kabupaten Nagan Raya,2021,14.14,8.69,97.47,133,4,137,1570,41,1611,14769,489,15258,36,4,40,634,41,675,5350,413,5763,17,0,17,420,0,420,3843,0,3843,2,3,5,58,42,100,484,411,895
Kabupaten Nagan Raya,2022,14.16,8.95,97.78,133,4,137,1587,56,1643,14859,505,15364,36,5,41,657,46,703,5183,497,5680,17,1,18,437,1,438,4074,37,4111,2,3,5,64,36,100,401,350,751
Kabupaten Nagan Raya,2023,14.17,8.96,98.56,133,4,136,1632,50,1682,15120,562,15682,36,5,41,666,50,716,5477,587,6064,17,1,18,453,2,455,4372,47,4419,2,2,4,69,28,97,389,331,720
Kabupaten Nagan Raya,2024,14.18,9.25,99.17,133,3,136,1678,44,1722,15381,619,16000,36,5,41,672,46,718,6017,684,6701,17,1,18,453,2,455,4406,43,4449,2,2,4,73,27,100,413,331,744
Kabupaten Nagan Raya,2025,14.18,9.25,99.17,133,4,137,1699,59,1758,15763,624,16387,36,6,42,672,58,730,6221,730,6951,17,1,18,451,4,455,4465,51,4516,2,2,4,73,30,103,451,353,804
Kabupaten Pidie,2016,13.93,8.75,97.05,272,4,279,4249,72,4184,34636,1096,35001,52,8,60,1779,87,1866,13058,1210,14268,23,5,28,1113,69,1182,9941,809,10750,6,6,12,225,136,361,2324,863,3187
Kabupaten Pidie,2017,14.25,8.76,97.05,272,4,276,4054,80,4134,34450,1118,35568,52,9,61,1864,106,1970,12445,1397,13842,24,4,28,1139,66,1205,9776,867,10643,6,6,12,255,123,378,2478,968,3446
Kabupaten Pidie,2018,14.44,8.81,97.05,272,6,278,3965,97,4062,34105,1355,35460,52,10,62,1844,123,1967,12160,1652,13812,24,4,28,1156,75,1231,9194,826,10020,6,6,13,264,123,388,2526,934,3460
Kabupaten Pidie,2019,14.45,8.82,97.05,272,7,279,4081,103,4184,33426,1575,35001,53,11,64,1906,138,2044,12797,1804,14601,24,6,30,1116,91,1207,8792,1017,9809,7,7,14,274,123,397,2575,900,3475
Kabupaten Pidie,2020,14.46,8.99,97.05,272,7,279,4133,123,4256,32631,1756,34387,53,11,64,1964,159,2123,12818,2152,14970,24,7,31,1130,100,1230,8460,998,9458,7,6,13,291,123,414,2487,949,3436
Kabupaten Pidie,2021,14.47,9.0,95.57,272,7,279,3978,131,4109,32363,1891,34254,53,15,68,1912,210,2122,12259,2504,14763,24,7,31,1030,97,1127,8443,945,9388,7,6,13,303,101,404,2418,1036,3454
Kabupaten Pidie,2022,14.49,9.02,95.81,272,7,279,4009,152,4161,31866,1999,33865,54,19,73,1828,240,2068,11185,2689,13874,24,7,31,1004,99,1103,8878,989,9867,7,6,13,313,91,404,2361,1030,3391
Kabupaten Pidie,2023,14.5,9.03,94.21,272,8,280,3993,154,4148,31806,2099,33906,54,22,76,1769,261,2030,10748,2789,13537,24,8,32,981,96,1077,9274,1202,10476,7,7,14,334,95,429,2533,1076,3609
Kabupaten Pidie,2024,14.52,9.04,95.84,272,10,282,3977,157,4134,31747,2199,33946,54,25,79,1705,267,1972,10687,2924,13611,24,8,32,1011,91,1102,9455,1293,10748,7,7,14,362,95,457,2575,1106,3681
Kabupaten Pidie,2025,14.52,9.04,95.84,272,10,282,3978,171,4149,31724,2207,33931,54,26,80,1665,297,1962,10665,2933,13598,24,7,31,1006,104,1110,9284,1054,10338,7,8,15,364,119,483,2669,1266,3935
Kabupaten Pidie Jaya,2016,14.51,8.46,96.89,90,2,93,1927,40,1893,11556,306,12106,24,6,30,779,61,840,4438,608,5046,10,3,13,494,11,505,3486,87,3573,4,1,5,170,10,180,970,26,996
Kabupaten Pidie Jaya,2017,14.52,8.84,96.89,90,2,92,1802,36,1838,11623,347,11970,24,8,32,724,80,804,4337,643,4980,10,3,13,503,15,518,3460,156,3616,4,2,6,181,16,197,911,96,1007
Kabupaten Pidie Jaya,2018,14.53,8.86,96.89,90,3,93,1811,31,1842,11601,419,12020,24,8,32,727,79,806,4177,779,4956,10,4,14,487,32,519,3167,311,3478,4,2,6,186,22,208,881,158,1038
Kabupaten Pidie Jaya,2019,14.54,9.04,96.89,90,3,93,1851,42,1893,11607,499,12106,24,8,32,730,102,832,4338,953,5291,10,4,14,473,31,504,3038,435,3473,4,3,7,192,27,219,851,219,1070
Kabupaten Pidie Jaya,2020,13.82,9.33,96.89,90,3,93,1853,44,1897,11694,546,12240,24,8,32,738,113,851,4388,954,5342,10,4,14,479,43,522,2992,489,3481,4,3,7,195,33,228,909,199,1108
Kabupaten Pidie Jaya,2021,14.97,9.34,96.82,90,3,93,1795,37,1832,11705,544,12249,24,8,32,763,99,862,4325,1032,5357,10,4,14,442,44,486,3061,476,3537,4,3,7,191,30,221,976,205,1181
Kabupaten Pidie Jaya,2022,14.98,9.53,97.46,90,3,93,1796,43,1839,11675,543,12218,25,7,32,787,83,870,4217,881,5098,10,4,14,434,40,474,3014,534,3548,4,3,7,184,37,221,1015,224,1239
Kabupaten Pidie Jaya,2023,14.99,9.58,97.48,90,4,94,1796,37,1833,11790,538,12328,25,10,35,773,99,872,4049,948,4997,10,4,14,414,38,452,3107,579,3686,4,3,7,188,39,227,1102,328,1430
Kabupaten Pidie Jaya,2024,15.01,9.59,96.68,90,4,94,1796,31,1827,11906,533,12439,25,11,36,764,111,875,4005,1049,5054,10,4,14,416,31,447,3202,593,3795,4,4,8,193,37,230,1166,360,1526
Kabupaten Pidie Jaya,2025,15.01,9.59,96.68,90,4,94,1843,34,1877,12039,578,12617,26,11,37,734,131,865,4078,1044,5122,10,5,15,404,50,454,3251,540,3791,4,4,8,194,47,241,1248,397,1645
Kabupaten Simeulue,2016,13.07,8.91,98.8,114,1,115,1551,8,1464,10455,49,9807,42,2,44,517,4,521,4441,32,4473,23,0,23,376,0,376,3542,0,3542,8,0,8,134,0,134,1107,0,1107
Kabupaten Simeulue,2017,13.23,9.06,98.8,114,1,115,1430,6,1436,10095,67,10162,42,3,45,487,17,504,4444,95,4539,25,0,25,408,0,408,3534,0,3534,8,0,8,156,0,156,1082,0,1082
Kabupaten Simeulue,2018,13.25,9.07,98.8,114,1,115,1378,15,1393,9741,82,9823,43,2,45,506,25,531,4415,150,4565,25,0,25,415,0,415,3419,0,3419,8,0,8,150,0,150,1040,0,1040
Kabupaten Simeulue,2019,13.51,9.08,98.8,114,1,115,1452,12,1464,9699,108,9807,44,2,46,554,13,567,4501,182,4683,25,0,25,424,0,424,3555,0,3555,8,0,8,144,0,144,997,0,997
Kabupaten Simeulue,2020,13.76,9.34,98.8,114,1,115,1587,11,1598,9511,119,9630,44,2,46,630,22,652,4194,168,4362,25,0,25,486,0,486,3599,0,3599,8,0,8,167,0,167,1035,0,1035
Kabupaten Simeulue,2021,13.9,9.48,98.88,113,2,115,1523,24,1547,9373,339,9712,44,2,46,642,23,665,3889,156,4045,25,1,26,438,7,445,4037,15,4052,8,0,8,152,0,152,995,0,995
Kabupaten Simeulue,2022,14.08,9.73,98.59,113,2,115,1554,28,1582,9365,326,9691,44,2,46,692,25,717,3658,116,3774,25,1,26,484,8,492,3839,34,3873,8,0,8,152,0,152,969,0,969
Kabupaten Simeulue,2023,14.28,9.81,98.42,113,2,115,1630,30,1660,9317,357,9674,44,2,46,716,27,743,3682,122,3804,25,1,26,509,6,515,3925,42,3967,8,0,8,188,0,188,858,0,858
Kabupaten Simeulue,2024,14.53,9.89,99.1,113,2,115,1706,31,1737,9269,388,9657,44,2,46,738,29,767,3918,101,4019,25,1,26,488,4,492,3772,36,3808,8,0,8,168,0,168,704,0,704
Kabupaten Simeulue,2025,14.53,9.89,99.1,113,2,115,1727,40,1767,9125,449,9574,44,2,46,743,24,767,4066,80,4146,25,1,26,485,6,491,3664,20,3684,8,0,8,170,0,170,626,0,626
Kota Banda Aceh,2016,17.03,12.57,99.79,72,12,87,1001,240,1289,19224,3600,24343,19,13,32,642,142,784,7888,1288,9176,16,14,30,677,212,889,7833,1373,9206,6,4,10,311,49,360,3431,451,3882
Kota Banda Aceh,2017,17.1,12.59,99.79,72,13,85,960,248,1208,19967,3756,23723,19,13,32,629,140,769,7816,1320,9136,16,14,30,674,198,872,8021,1425,9446,6,4,10,307,59,366,3749,488,4237
Kota Banda Aceh,2018,17.26,12.6,99.79,72,14,86,965,243,1208,20132,3864,23996,19,14,33,604,139,743,8260,1451,9711,16,14,30,687,180,867,7994,1401,9395,6,4,10,316,58,374,3824,525,4349
Kota Banda Aceh,2019,17.39,12.64,99.79,72,15,87,1033,256,1289,20291,4052,24343,19,14,33,642,157,799,8828,1711,10539,17,14,31,682,171,853,8213,1392,9605,6,4,10,324,57,381,3899,562,4461
Kota Banda Aceh,2020,17.79,12.65,99.79,72,16,88,1078,298,1376,20221,3909,24130,19,14,33,648,183,831,9409,1809,11218,17,12,29,692,185,877,7782,1323,9105,6,3,9,350,59,409,3784,568,4352
Kota Banda Aceh,2021,17.8,12.83,99.84,72,18,90,1045,360,1405,19955,4062,24017,19,14,33,647,171,818,9189,1672,10861,17,12,29,637,170,807,8390,1261,9651,6,3,9,368,53,421,4389,717,5106
Kota Banda Aceh,2022,17.81,13.03,99.61,72,20,92,1048,398,1446,19902,4351,24253,19,15,34,649,175,824,8950,1708,10658,17,12,29,681,184,865,8717,1380,10097,6,3,9,361,52,413,4071,753,4824
Kota Banda Aceh,2023,17.93,13.04,99.94,72,22,94,1070,392,1462,20156,4494,24651,19,17,36,628,212,840,9023,1821,10844,17,12,29,741,166,907,9700,1507,11207,6,3,9,414,48,462,4389,904,5293
Kota Banda Aceh,2024,17.94,13.1,99.48,72,23,95,1093,386,1479,20411,4638,25049,19,18,37,684,207,891,9593,1839,11432,17,12,29,846,132,978,10053,1560,11613,6,3,9,441,41,482,4513,836,5349
Kota Banda Aceh,2025,17.94,13.1,99.48,72,25,97,1083,434,1517,20652,5085,25737,19,19,38,659,217,876,10210,1967,12177,17,14,31,813,178,991,10121,1669,11790,6,3,9,433,51,484,4733,793,5526
Kota Langsa,2016,15.17,10.71,99.03,56,6,67,1064,56,1089,13878,672,15109,14,3,17,568,12,580,6478,73,6551,5,4,9,280,68,348,3860,440,4300,6,4,10,326,39,365,3237,248,3485
Kota Langsa,2017,15.18,10.9,99.03,57,8,65,997,106,1103,13956,1085,15041,14,3,17,561,23,584,6255,101,6356,5,4,9,285,55,340,3736,426,4162,6,4,10,331,39,370,3465,296,3761
Kota Langsa,2018,15.19,11.06,99.03,58,8,66,939,108,1047,13741,1384,15125,14,4,18,567,34,601,5999,259,6258,5,4,9,295,52,347,3511,347,3858,6,4,10,333,38,372,3630,263,3892
Kota Langsa,2019,15.34,11.1,99.03,58,9,67,969,120,1089,13344,1765,15109,14,4,18,564,52,616,6155,581,6736,5,5,10,277,52,329,3372,395,3767,6,4,10,335,38,373,3794,230,4024
Kota Langsa,2020,15.35,11.11,99.03,58,9,67,1002,143,1145,12778,1927,14705,14,4,18,582,55,637,5992,704,6696,5,5,10,294,58,352,3310,333,3643,6,4,10,361,33,394,3743,168,3911
Kota Langsa,2021,15.63,11.12,99.3,58,10,68,910,154,1064,12237,2018,14255,14,7,21,554,71,625,5721,832,6553,5,4,9,277,47,324,3407,342,3749,6,3,9,339,24,363,3660,162,3822
Kota Langsa,2022,15.64,11.14,99.39,58,9,67,912,161,1073,11890,1938,13828,15,8,23,516,94,610,5503,925,6428,5,4,9,279,45,324,3712,402,4114,6,3,9,354,25,379,3321,105,3426
Kota Langsa,2023,15.7,11.27,99.34,58,9,67,914,148,1062,11759,1918,13678,15,9,24,494,93,587,5512,996,6508,5,4,9,293,50,343,3875,440,4315,6,3,9,353,24,377,3323,101,3424
Kota Langsa,2024,15.71,11.28,99.32,58,9,67,915,136,1051,11628,1899,13527,15,11,26,475,96,571,5880,1010,6890,5,4,9,307,42,349,3992,411,4403,6,3,9,356,26,382,3416,100,3516
Kota Langsa,2025,15.71,11.28,99.32,56,9,65,907,144,1051,11890,1850,13740,16,12,28,464,104,568,5980,1063,7043,5,4,9,301,43,344,4001,480,4481,6,2,8,350,19,369,3522,127,3649
Kota Lhokseumawe,2016,15.16,10.53,99.51,58,8,70,1230,101,1349,16632,1239,18212,18,7,25,642,64,706,7336,509,7845,8,2,10,447,29,476,4257,223,4480,8,5,13,419,86,505,4319,376,4695
Kota Lhokseumawe,2017,15.17,10.88,99.51,58,9,67,1201,127,1328,16645,1381,18026,18,10,28,687,113,800,7094,705,7799,8,4,12,453,48,501,4097,359,4456,8,5,13,470,87,557,4612,424,5036
Kota Lhokseumawe,2018,15.18,10.89,99.51,58,11,69,1189,136,1325,16506,1620,18126,18,10,28,675,120,795,6748,873,7621,8,4,12,430,46,476,3775,405,4180,8,4,12,454,70,524,4536,419,4954
