kabupaten_kota,tahun,rasio_murid_per_guru_sd,Label_SD,Prediksi_Label_SD,rasio_murid_per_guru_smp,Label_SMP,Prediksi_Label_SMP,rasio_murid_per_guru_sma,Label_SMA,Prediksi_Label_SMA,rasio_murid_per_guru_smk,Label_SMK,Prediksi_Label_SMK
Kabupaten Aceh Besar,2025,11.046306115235065,Perlu Peningkatan,Perlu Peningkatan,10.53230543318649,Perlu Peningkatan,Perlu Peningkatan,9.523320895522389,Baik,Baik,6.502136752136752,Baik,Baik
Kabupaten Aceh Jaya,2016,8.964795432921028,Baik,Baik,7.2992518703241895,Baik,Baik,9.853881278538813,Perlu Peningkatan,Perlu Peningkatan,6.407407407407407,Baik,Baik
Kabupaten Aceh Jaya,2017,10.107491856677525,Baik,Baik,6.422018348623853,Baik,Baik,9.184313725490195,Baik,Baik,6.391304347826087,Baik,Baik
Kabupaten Aceh Jaya,2018,10.496651785714286,Baik,Baik,6.854117647058824,Baik,Baik,8.35740072202166,Baik,Baik,6.3418803418803416,Baik,Baik
Kabupaten Aceh Jaya,2019,8.964795432921028,Baik,Baik,7.84375,Baik,Baik,8.383211678832117,Baik,Baik,6.302521008403361,Baik,Baik
Kabupaten Aceh Jaya,2020,7.693210393964795,Baik,Baik,7.158469945355192,Baik,Baik,7.748175182481752,Baik,Baik,7.0,Baik,Baik
Kabupaten Aceh Jaya,2021,8.490757855822551,Baik,Baik,7.9087221095334685,Baik,Baik,8.902834008097166,Baik,Perlu Peningkatan,7.140495867768595,Baik,Baik
Kabupaten Aceh Jaya,2022,8.247714808043876,Baik,Baik,6.75830258302583,Baik,Baik,9.819607843137256,Perlu Peningkatan,Perlu Peningkatan,7.052631578947368,Baik,Baik
Kabupaten Aceh Jaya,2023,8.026809651474531,Baik,Baik,6.702752293577982,Baik,Baik,10.187022900763358,Perlu Peningkatan,Perlu Peningkatan,6.141025641025641,Baik,Baik
Kabupaten Aceh Jaya,2024,7.814685314685315,Baik,Baik,6.550173010380623,Baik,Baik,10.782608695652174,Perlu Peningkatan,Perlu Peningkatan,6.852348993288591,Baik,Baik
Kabupaten Aceh Jaya,2025,7.755401901469317,Baik,Baik,6.124183006535947,Baik,Baik,10.465587044534413,Perlu Peningkatan,Perlu Peningkatan,6.745098039215686,Baik,Baik
Kabupaten Aceh Selatan,2016,7.874321179208689,Baik,Baik,10.4251968503937,Perlu Peningkatan,Perlu Peningkatan,10.383333333333333,Perlu Peningkatan,Perlu Peningkatan,5.947368421052632,Baik,Baik
Kabupaten Aceh Selatan,2017,7.65489443378119,Baik,Baik,9.298755186721992,Perlu Peningkatan,Baik,9.74083769633508,Perlu Peningkatan,Perlu Peningkatan,6.477732793522267,Baik,Baik
Kabupaten Aceh Selatan,2018,7.974633372968688,Baik,Baik,8.723643807574208,Perlu Peningkatan,Baik,8.634002361275089,Baik,Baik,6.2795275590551185,Baik,Baik
Kabupaten Aceh Selatan,2019,7.874321179208689,Baik,Baik,8.489,Baik,Baik,8.539379474940334,Baik,Baik,6.115384615384615,Baik,Baik
Kabupaten Aceh Selatan,2020,7.486656782802076,Baik,Baik,8.022684310018903,Baik,Baik,7.8262857142857145,Baik,Baik,5.833962264150943,Baik,Baik
Kabupaten Aceh Selatan,2021,7.709118891881493,Baik,Baik,8.109628217349856,Baik,Baik,8.0,Baik,Baik,5.579136690647482,Baik,Baik
Kabupaten Aceh Selatan,2022,7.508988764044944,Baik,Baik,7.818596171376481,Baik,Baik,7.6,Baik,Baik,4.5647840531561465,Baik,Baik
Kabupaten Aceh Selatan,2023,7.75,Baik,Baik,8.216901408450704,Baik,Baik,7.57258064516129,Baik,Baik,4.418461538461538,Baik,Baik
Kabupaten Aceh Selatan,2024,8.004801920768307,Baik,Baik,8.544423440453686,Perlu Peningkatan,Perlu Peningkatan,7.578713968957872,Baik,Baik,4.603715170278638,Baik,Baik
Kabupaten Aceh Selatan,2025,7.824623911322249,Baik,Baik,8.577137546468402,Perlu Peningkatan,Perlu Peningkatan,7.423365487674169,Baik,Baik,4.767080745341615,Baik,Baik
Kabupaten Aceh Singkil,2016,13.41958041958042,Perlu Peningkatan,Perlu Peningkatan,12.4,Perlu Peningkatan,Perlu Peningkatan,14.178988326848248,Perlu Peningkatan,Perlu Peningkatan,10.091743119266056,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Singkil,2017,14.68935427574171,Perlu Peningkatan,Perlu Peningkatan,12.040515653775323,Perlu Peningkatan,Perlu Peningkatan,13.725563909774436,Perlu Peningkatan,Perlu Peningkatan,8.147887323943662,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Singkil,2018,14.598275862068965,Perlu Peningkatan,Perlu Peningkatan,11.123388581952117,Perlu Peningkatan,Perlu Peningkatan,13.307142857142857,Perlu Peningkatan,Perlu Peningkatan,8.014388489208633,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Singkil,2019,13.41958041958042,Perlu Peningkatan,Perlu Peningkatan,9.609677419354838,Perlu Peningkatan,Perlu Peningkatan,13.956989247311828,Perlu Peningkatan,Perlu Peningkatan,7.875,Baik,Baik
